航班,始发地,目的地,经停,计划到达,航站楼,状态
CA4038,和田,成都,,19:55,T2,已于19:28到达
CA1425,北京,成都,,20:00,T2,计划20:00到达
CA4314,深圳,成都,,20:00,T2,已于19:02到达
CZ6855,和田,成都,,20:05,T2,已于19:36到达
CZ6135,北京,成都,,20:05,T2,已于19:47到达
CA1653,呼和浩特,成都,,20:10,T2,计划20:10到达
CA1745,杭州,成都,,20:10,T2,计划20:10到达
CZ6435,大连,成都,,20:15,T2,计划20:15到达
CA4302,广州,成都,,20:15,T2,已于19:42到达
CZ3865,揭阳,成都,,20:20,T2,已于19:53到达
CZ3483,广州,成都,,20:20,T2,计划20:20到达
GY7117,贵阳,成都,,20:20,T2,计划20:20到达
8L9630,郑州,成都,,20:25,T2,计划20:25到达
KY8291,昆明,成都,,20:30,T2,计划20:30到达
MU2644,黄山,成都,,20:30,T2,计划20:30到达
TV9894,深圳,成都,,20:30,T2,已于19:34到达
CA404,新加坡樟宜,成都,,20:30,T1,计划20:30到达
CA4316,海口,成都,,20:35,T2,计划20:35到达
CA1959,温州,成都,,20:35,T2,计划20:35到达
A67101,昆明,成都,,20:35,T2,计划20:35到达
BK2779,长沙,成都,,20:40,T2,计划20:40到达
SC4713,青岛,成都,,20:40,T2,计划20:40到达
MU2611,揭阳,成都,,20:40,T2,计划20:40到达
ZH9567,南京,成都,,20:45,T2,计划20:45到达
9C8664,甲米,成都,,20:45,T1,计划20:45到达
3U8888,北京,成都,,20:45,T1,计划20:45到达
3U8378,大连,成都,,20:50,T1,计划20:50到达
TV9916,大理,成都,,20:50,T2,计划20:50到达
EU2714,台州,成都,,20:55,T2,计划20:55到达
EU2744,拉萨,成都,,20:55,T2,计划20:55到达
GS7887,天津,成都,,21:00,T2,计划21:00到达
HU7831,乌鲁木齐,成都,,21:00,T2,计划21:00到达
CA4334,广州,成都,,21:05,T2,计划21:05到达
CZ3241,南宁,成都,,21:05,T2,计划21:05到达
MU5100,卡利博,成都,,21:05,T1,已于19:32到达
MU5851,昆明,成都,,21:05,T2,计划21:05到达
CA4312,深圳,成都,,21:10,T2,计划21:10到达
MF8431,厦门,成都,,21:10,T2,计划21:10到达
CA4104,北京,成都,,21:15,T2,计划21:15到达
KN5217,北京南苑,成都,,21:15,T2,计划21:15到达
CA4242,喀什,成都,,21:15,T2,计划21:15到达
MU9886,杭州,成都,,21:15,T2,计划21:15到达
CZ3427,广州,成都,,21:25,T2,计划21:25到达
CZ3729,珠海,成都,,21:25,T2,计划21:25到达
CA4516,上海虹桥,成都,,21:30,T2,计划21:30到达
MU5853,昆明,成都,,21:30,T2,计划21:30到达
QV883,万象,成都,,21:30,T1,计划21:30到达
TV9818,丽江,成都,,21:35,T2,计划21:35到达
MU5297,上海浦东,成都,,21:40,T2,计划21:40到达
MU2935,常州,成都,,21:45,T2,计划21:45到达
DR5014,哈尔滨,成都,,21:50,T2,计划21:50到达
CZ3461,长沙,成都,,21:50,T2,计划21:50到达
3U8526,喀什,成都,,21:50,T1,计划21:50到达
KA824,香港,成都,,21:55,T1,计划21:55到达
EU2808,苏梅岛,成都,,21:55,T1,计划21:55到达
EU2250,海拉尔,成都,,22:00,T2,计划22:00到达
3U8706,深圳,成都,,22:00,T1,计划22:00到达
ZZB8029,深圳,成都,,22:00,T2,计划22:00到达
