航班,始发地,目的地,经停,计划到达,航站楼,状态
ZH4416,大理,成都,,10:40,T2,已于10:51到达
GY7183,贵阳,成都,,10:45,T2,已于10:25到达
ZH9401,深圳,成都,,10:45,T2,已于10:22到达
CA3701,深圳,成都,,10:45,T2,已于10:22到达
CA1405,北京,成都,,10:45,T2,已于10:39到达
ZH1405,北京,成都,,10:45,T2,已于10:39到达
MU2653,武汉,成都,,10:50,T2,已于10:33到达
3U5050,武汉,成都,,10:50,T2,已于10:33到达
HO1119,上海虹桥,成都,,10:55,T2,已于11:05到达
3U2235,上海虹桥,成都,,10:55,T2,已于11:05到达
CA3293,上海虹桥,成都,,10:55,T2,已于11:05到达
MU4729,上海虹桥,成都,,10:55,T2,已于11:05到达
CA1947,上海浦东,成都,,10:55,T2,已于10:53到达
TV6257,上海浦东,成都,,10:55,T2,已于10:53到达
ZH1947,上海浦东,成都,,10:55,T2,已于10:53到达
3U8574,西双版纳,成都,,10:55,T1,已于10:58到达
CZ4954,西双版纳,成都,,10:55,T1,已于10:58到达
HO3434,西双版纳,成都,,10:55,T1,已于10:58到达
MU3910,西双版纳,成都,,10:55,T1,已于10:58到达
UA2812,重庆,成都,,11:00,T1,已于13:31到达
MU2905,无锡,成都,,11:00,T2,已于11:15到达
CA4372,长沙,成都,,11:00,T2,已于10:50到达
SC4372,长沙,成都,,11:00,T2,已于10:50到达
TV6386,长沙,成都,,11:00,T2,已于10:50到达
ZH4372,长沙,成都,,11:00,T2,已于10:50到达
SC4901,济南,成都,,11:05,T2,已于11:00到达
CA4901,济南,成都,,11:05,T2,已于11:00到达
MF8423,杭州,成都,,11:05,T2,已于11:13到达
CA4432,林芝,成都,,11:10,T2,计划11:10到达
ZH4432,林芝,成都,,11:10,T2,计划11:10到达
CZ6161,北京,成都,,11:10,T2,已于10:55到达
3U3111,北京,成都,,11:10,T2,已于10:55到达
MF1819,北京,成都,,11:10,T2,已于10:55到达
MF1901,北京,成都,,11:10,T2,已于10:55到达
GJ8679,杭州,成都,,11:10,T2,已于11:03到达
EU220T,南京,成都,,11:10,T2,已于11:23到达
CA4112,北京,成都,,11:15,T2,已于11:38到达
SC4112,北京,成都,,11:15,T2,已于11:38到达
ZH4112,北京,成都,,11:15,T2,已于11:38到达
CA4508,南昌,成都,,11:15,T2,已于11:09到达
SC4508,南昌,成都,,11:15,T2,已于11:09到达
ZH4508,南昌,成都,,11:15,T2,已于11:09到达
EU1802,长沙,成都,,11:20,T2,已于11:07到达
MU5401,上海虹桥,成都,,11:20,T2,已于10:42到达
3U5014,上海虹桥,成都,,11:20,T2,已于10:42到达
